step	mel_loss	adv_loss	commit_loss	vq_util	n_active	bitrate	grad_norm	lr
0	1.9582	0.0000	0.0213	1.0000	1	752.0	61.6289	0.000050
200	1.1191	0.0000	0.0236	1.0000	1	752.0	52.1887	0.000051
400	0.8440	0.0000	0.0198	1.0000	1	752.0	81.3729	0.000051
600	0.7482	0.0000	0.0195	1.0000	1	752.0	68.2985	0.000052
800	0.7451	0.0000	0.0195	1.0000	1	752.0	82.9142	0.000053
1000	0.7034	0.0000	0.0188	1.0000	1	752.0	102.3014	0.000053
1200	0.7892	0.0000	0.0200	1.0000	1	752.0	290.7208	0.000054
1400	0.6785	0.0000	0.0184	1.0000	1	752.0	168.5927	0.000055
1600	0.6751	0.0000	0.0179	1.0000	1	752.0	79.6462	0.000055
1800	0.6832	0.0000	0.0197	1.0000	1	752.0	135.8951	0.000056
2000	0.6818	0.0000	0.0189	1.0000	1	752.0	120.5046	0.000057
2200	0.6246	0.0000	0.0194	1.0000	1	752.0	149.0755	0.000057
2400	0.6295	0.0000	0.0188	1.0000	1	752.0	55.7634	0.000058
2600	0.6525	0.0000	0.0200	1.0000	1	752.0	51.2486	0.000059
2800	0.6350	0.0000	0.0184	1.0000	1	752.0	77.2787	0.000059
3000	0.6614	0.0000	0.0201	1.0000	1	752.0	51.3245	0.000060
3200	0.6240	0.0000	0.0192	1.0000	1	752.0	40.0082	0.000061
3400	0.6817	0.0000	0.0195	1.0000	1	752.0	186.7756	0.000061
3600	0.6642	0.0000	0.0201	1.0000	1	752.0	174.2399	0.000062
3800	0.6444	0.0000	0.0195	1.0000	1	752.0	258.7886	0.000063
4000	0.6265	0.0000	0.0190	1.0000	1	752.0	63.8294	0.000063
4200	0.6433	0.0000	0.0198	1.0000	1	752.0	38.2376	0.000064
4400	0.7011	0.0000	0.0194	1.0000	1	752.0	82.3324	0.000065
4600	0.6121	0.0000	0.0192	1.0000	1	752.0	80.3742	0.000065
4800	0.6589	0.0000	0.0204	1.0000	1	752.0	82.5020	0.000066
5000	0.6393	0.0000	0.0190	1.0000	1	752.0	110.3740	0.000067
5200	0.5833	0.0000	0.0181	1.0000	1	752.0	50.1535	0.000067
5400	0.6614	0.0000	0.0193	1.0000	1	752.0	70.1244	0.000068
5600	0.6339	0.0000	0.0201	1.0000	1	752.0	135.4276	0.000069
5800	0.6782	0.0000	0.0198	1.0000	1	752.0	211.2047	0.000069
6000	0.6499	0.0000	0.0212	1.0000	1	752.0	32.0563	0.000070
6200	0.7075	0.0000	0.0194	1.0000	1	752.0	68.4951	0.000071
6400	0.6152	0.0000	0.0210	1.0000	1	752.0	69.2212	0.000071
6600	0.6691	0.0000	0.0204	1.0000	1	752.0	60.4626	0.000072
6800	0.6087	0.0000	0.0210	1.0000	1	752.0	50.3606	0.000073
7000	0.6603	0.0000	0.0198	1.0000	1	752.0	55.4356	0.000073
7200	0.6074	0.0000	0.0199	1.0000	1	752.0	75.9850	0.000074
7400	0.6064	0.0000	0.0217	1.0000	1	752.0	44.3680	0.000075
7600	0.5726	0.0000	0.0181	1.0000	1	752.0	46.7489	0.000075
7800	0.6465	0.0000	0.0199	1.0000	1	752.0	50.8233	0.000076
8000	0.6128	0.0000	0.0204	1.0000	1	752.0	92.1391	0.000077
8200	0.6486	0.0000	0.0201	1.0000	1	752.0	89.2112	0.000077
8400	0.6843	0.0000	0.0218	1.0000	1	752.0	38.6298	0.000078
8600	0.5965	0.0000	0.0201	1.0000	1	752.0	44.2715	0.000079
8800	0.6322	0.0000	0.0206	1.0000	1	752.0	35.5962	0.000079
9000	0.6107	0.0000	0.0204	1.0000	1	752.0	76.7201	0.000080
9200	0.6274	0.0000	0.0214	1.0000	1	752.0	56.9869	0.000081
9400	0.5896	0.0000	0.0201	1.0000	1	752.0	106.5092	0.000081
9600	0.6150	0.0000	0.0200	1.0000	1	752.0	73.3569	0.000082
9800	0.6651	0.0000	0.0205	1.0000	1	752.0	214.8824	0.000083
10000	0.6750	0.0000	0.0198	1.0000	1	752.0	50.4776	0.000083
10200	0.6440	0.0000	0.0198	1.0000	1	752.0	42.4636	0.000084
10400	0.6423	0.0000	0.0203	1.0000	1	752.0	54.0920	0.000085
10600	0.7950	0.0000	0.0229	1.0000	1	752.0	32.6085	0.000085
10800	0.6723	0.0000	0.0198	1.0000	1	752.0	35.7270	0.000086
11000	0.6240	0.0000	0.0203	1.0000	1	752.0	32.7703	0.000087
11200	0.5821	0.0000	0.0202	1.0000	1	752.0	59.7468	0.000087
11400	0.6277	0.0000	0.0210	1.0000	1	752.0	48.3750	0.000088
11600	0.5813	0.0000	0.0198	1.0000	1	752.0	229.4350	0.000089
11800	0.8765	0.0000	0.0218	1.0000	1	752.0	48.9900	0.000089
12000	0.5851	0.0000	0.0185	1.0000	1	752.0	416.8410	0.000090
12200	0.6090	0.0000	0.0205	1.0000	1	752.0	190.8796	0.000091
12400	0.6511	0.0000	0.0207	1.0000	1	752.0	47.4137	0.000091
12600	0.5762	0.0000	0.0195	1.0000	1	752.0	36.7162	0.000092
12800	0.6314	0.0000	0.0200	1.0000	1	752.0	48.9923	0.000093
13000	0.6336	0.0000	0.0207	1.0000	1	752.0	53.0416	0.000093
13200	0.5840	0.0000	0.0196	1.0000	1	752.0	52.1240	0.000094
13400	0.5956	0.0000	0.0216	1.0000	1	752.0	42.5544	0.000095
13600	0.6206	0.0000	0.0200	1.0000	1	752.0	57.2350	0.000095
13800	0.6220	0.0000	0.0218	1.0000	1	752.0	60.8597	0.000096
14000	0.6207	0.0000	0.0233	1.0000	1	752.0	75.6506	0.000097
14200	0.5826	0.0000	0.0196	1.0000	1	752.0	40.1793	0.000097
14400	0.6004	0.0000	0.0215	1.0000	1	752.0	77.0026	0.000098
14600	0.5498	0.0000	0.0198	1.0000	1	752.0	246.3052	0.000099
14800	0.5967	0.0000	0.0218	1.0000	1	752.0	98.4139	0.000099
15000	0.5999	0.0000	0.0207	1.0000	1	752.0	82.1128	0.000100
15200	0.6549	0.3984	0.0211	1.0000	1	752.0	69.7630	0.000100
15400	0.5808	0.2845	0.0204	1.0000	1	752.0	45.2541	0.000100
15600	0.6135	0.2974	0.0208	1.0000	1	752.0	31.9814	0.000100
15800	0.6186	0.2832	0.0209	1.0000	1	752.0	55.5686	0.000100
16000	0.6461	0.3003	0.0228	1.0000	1	752.0	41.9868	0.000100
16200	0.5948	0.2981	0.0200	1.0000	1	752.0	34.3777	0.000100
16400	0.6489	0.2986	0.0202	1.0000	1	752.0	70.4423	0.000100
16600	0.5875	0.2897	0.0201	1.0000	1	752.0	41.0430	0.000099
16800	0.5915	0.3130	0.0207	1.0000	1	752.0	70.4326	0.000099
17000	0.5877	0.3001	0.0216	1.0000	1	752.0	55.4887	0.000099
