step	mel_loss	adv_loss	commit_loss	vq_util	n_active	bitrate	grad_norm	lr
0	2.2425	0.0000	0.0385	1.0000	1	752.0	72.2932	0.000050
200	1.5769	0.0000	0.0021	1.0000	1	752.0	27.0450	0.000051
400	2.2490	0.0000	0.0007	1.0000	1	752.0	57.8056	0.000051
600	1.2656	0.0000	0.0004	1.0000	1	752.0	10.3247	0.000052
800	1.3553	0.0000	0.0003	1.0000	1	752.0	16.8431	0.000053
1000	1.5473	0.0000	0.0002	1.0000	1	752.0	12.6593	0.000053
1200	1.4174	0.0000	0.0001	1.0000	1	752.0	15.9994	0.000054
1400	1.6830	0.0000	0.0001	1.0000	1	752.0	15.3845	0.000055
1600	1.4111	0.0000	0.0001	1.0000	1	752.0	18.9191	0.000055
1800	1.5353	0.0000	0.0001	1.0000	1	752.0	8.2034	0.000056
2000	1.4653	0.0000	0.0001	1.0000	1	752.0	24.5584	0.000057
2200	1.4938	0.0000	0.0001	1.0000	1	752.0	10.3993	0.000057
2400	1.4041	0.0000	0.0001	1.0000	1	752.0	9.2448	0.000058
2600	1.7365	0.0000	0.0001	1.0000	1	752.0	8.3492	0.000059
2800	1.5657	0.0000	0.0001	1.0000	1	752.0	7.4072	0.000059
3000	1.5459	0.0000	0.0001	1.0000	1	752.0	14.8582	0.000060
3200	1.3758	0.0000	0.0001	1.0000	1	752.0	7.1552	0.000061
3400	1.7744	0.0000	0.0001	1.0000	1	752.0	41.3667	0.000061
3600	1.2646	0.0000	0.0001	1.0000	1	752.0	11.9600	0.000062
3800	1.4220	0.0000	0.0001	1.0000	1	752.0	16.6193	0.000063
4000	2.0780	0.0000	0.0001	1.0000	1	752.0	15.3269	0.000063
4200	1.3716	0.0000	0.0001	1.0000	1	752.0	16.6580	0.000064
4400	1.4944	0.0000	0.0002	1.0000	1	752.0	6.9120	0.000065
4600	1.6209	0.0000	0.0002	1.0000	1	752.0	9.2254	0.000065
4800	1.6450	0.0000	0.0001	1.0000	1	752.0	7.2720	0.000066
5000	1.5835	0.0000	0.0002	1.0000	1	752.0	7.9443	0.000067
5200	1.4212	0.0000	0.0001	1.0000	1	752.0	11.1975	0.000067
5400	1.4194	0.0000	0.0001	1.0000	1	752.0	30.6126	0.000068
5600	1.4591	0.0000	0.0001	1.0000	1	752.0	11.8647	0.000069
5800	1.2757	0.0000	0.0001	1.0000	1	752.0	7.4762	0.000069
6000	1.6421	0.0000	0.0001	1.0000	1	752.0	7.3018	0.000070
6200	2.0976	0.0000	0.0001	1.0000	1	752.0	22.4056	0.000071
6400	1.5357	0.0000	0.0001	1.0000	1	752.0	21.3745	0.000071
6600	1.3426	0.0000	0.0001	1.0000	1	752.0	19.7506	0.000072
6800	1.4952	0.0000	0.0001	1.0000	1	752.0	7.3028	0.000073
7000	1.3707	0.0000	0.0001	1.0000	1	752.0	12.1224	0.000073
7200	1.6192	0.0000	0.0001	1.0000	1	752.0	7.2729	0.000074
7400	1.6741	0.0000	0.0001	1.0000	1	752.0	9.1208	0.000075
7600	1.3738	0.0000	0.0000	1.0000	1	752.0	9.6722	0.000075
7800	1.7088	0.0000	0.0001	1.0000	1	752.0	9.2260	0.000076
8000	1.7350	0.0000	0.0001	1.0000	1	752.0	16.2171	0.000077
8200	1.5817	0.0000	0.0000	1.0000	1	752.0	13.1187	0.000077
8400	1.4434	0.0000	0.0000	1.0000	1	752.0	17.3489	0.000078
8600	1.5127	0.0000	0.0000	1.0000	1	752.0	10.0252	0.000079
8800	1.9119	0.0000	0.0000	1.0000	1	752.0	23.1962	0.000079
9000	1.3617	0.0000	0.0000	1.0000	1	752.0	4.5938	0.000080
9200	1.4241	0.0000	0.0001	1.0000	1	752.0	7.6666	0.000081
9400	1.5912	0.0000	0.0000	1.0000	1	752.0	6.3031	0.000081
9600	1.5480	0.0000	0.0000	1.0000	1	752.0	7.8402	0.000082
9800	1.5515	0.0000	0.0000	1.0000	1	752.0	11.1704	0.000083
10000	1.6832	0.0000	0.0000	1.0000	1	752.0	8.9903	0.000083
10200	1.4950	0.0000	0.0000	1.0000	1	752.0	13.1904	0.000084
