step	mel_loss	adv_loss	commit_loss	vq_util	n_active	bitrate	grad_norm	lr
0	1.1985	0.0000	0.0392	1.0000	1	595.9	79.2049	0.000050
200	0.7639	0.0000	0.0361	1.0000	1	595.9	48.8015	0.000052
400	0.8534	0.0000	0.0379	1.0000	1	595.9	46.3168	0.000054
600	0.7610	0.0000	0.0381	1.0000	1	595.9	27.8545	0.000056
800	0.8017	0.0000	0.0368	1.0000	1	595.9	31.0745	0.000058
1000	0.8134	0.0000	0.0400	1.0000	1	595.9	26.7898	0.000060
1200	0.7527	0.0000	0.0407	1.0000	1	595.9	52.2364	0.000062
1400	0.7064	0.0000	0.0397	1.0000	1	595.9	25.9643	0.000064
1600	0.7580	0.0000	0.0379	1.0000	1	595.9	29.4134	0.000066
1800	0.7751	0.0000	0.0382	1.0000	1	595.9	24.5358	0.000068
2000	0.7598	0.0000	0.0367	1.0000	1	595.9	33.7242	0.000070
2200	0.7544	0.0000	0.0397	1.0000	1	595.9	21.4757	0.000072
2400	0.7912	0.0000	0.0394	1.0000	1	595.9	37.0218	0.000074
2600	0.7239	0.0000	0.0410	1.0000	1	595.9	25.0143	0.000076
2800	0.7652	0.0000	0.0459	1.0000	1	595.9	52.6788	0.000078
3000	0.7036	0.0000	0.0379	1.0000	1	595.9	36.8024	0.000080
3200	0.7504	0.0000	0.0416	1.0000	1	595.9	17.0456	0.000082
3400	0.6833	0.0000	0.0369	1.0000	1	595.9	21.5691	0.000084
3600	0.7648	0.0000	0.0405	1.0000	1	595.9	27.9014	0.000086
3800	0.7161	0.0000	0.0369	1.0000	1	595.9	48.8990	0.000088
4000	0.7285	0.0000	0.0392	1.0000	1	595.9	25.9243	0.000090
4200	0.7496	0.0000	0.0379	1.0000	1	595.9	31.2759	0.000092
4400	0.7461	0.0000	0.0385	1.0000	1	595.9	41.0849	0.000094
4600	0.7388	0.0000	0.0379	1.0000	1	595.9	20.3172	0.000096
4800	0.7667	0.0000	0.0421	1.0000	1	595.9	17.0787	0.000098
5000	0.7095	0.0000	0.0410	1.0000	1	595.9	25.5965	0.000100
5200	0.7381	0.3294	0.0378	1.0000	1	595.9	33.1224	0.000100
5400	0.6858	0.2891	0.0408	1.0000	1	595.9	23.4030	0.000100
5600	0.7745	0.2927	0.0394	1.0000	1	595.9	48.6343	0.000100
5800	0.7487	0.2915	0.0389	1.0000	1	595.9	24.5307	0.000100
6000	0.8155	0.2881	0.0392	1.0000	1	595.9	38.1088	0.000100
6200	0.6986	0.3085	0.0385	1.0000	1	595.9	18.2689	0.000100
6400	0.6917	0.2994	0.0390	1.0000	1	595.9	24.6472	0.000100
6600	0.7077	0.2749	0.0420	1.0000	1	595.9	22.2506	0.000100
6800	0.7217	0.3197	0.0399	1.0000	1	595.9	19.5792	0.000100
7000	0.6864	0.3178	0.0320	1.0000	1	595.9	25.9158	0.000100
7200	0.7076	0.3104	0.0397	1.0000	1	595.9	18.5213	0.000099
7400	0.7551	0.3258	0.0403	1.0000	1	595.9	24.1683	0.000099
7600	0.7265	0.3243	0.0385	1.0000	1	595.9	18.3079	0.000099
7800	0.7058	0.3347	0.0353	1.0000	1	595.9	23.2055	0.000099
8000	0.7293	0.3336	0.0375	1.0000	1	595.9	18.0153	0.000099
8200	0.7275	0.3363	0.0390	1.0000	1	595.9	16.2961	0.000099
8400	0.6783	0.3627	0.0393	1.0000	1	595.9	18.8122	0.000099
8600	0.6835	0.3077	0.0386	1.0000	1	595.9	27.3737	0.000098
8800	0.7389	0.3554	0.0397	1.0000	1	595.9	18.5525	0.000098
9000	0.7324	0.3352	0.0382	1.0000	1	595.9	18.0621	0.000098
9200	0.6799	0.3087	0.0392	1.0000	1	595.9	17.2523	0.000098
9400	0.7464	0.3553	0.0375	1.0000	1	595.9	22.3999	0.000098
9600	0.7402	0.3198	0.0400	1.0000	1	595.9	25.1041	0.000097
