step,total_steps,progress_pct,epoch,resolved_epochs,epoch_pct,iter,steps_per_epoch,seen,epoch_items,phase,ms_per_update,lr,updates_per_s,samples_per_s,eta_seconds,loss_total,l1,sem,stft,sc,cx,sgrad,stft_cos,mel,lin,cos_pct,ema_cos_pct,grad_norm,vq_loss,marg_ent,u0,u1,u2,u3,stft_weight,sem_weight,vq_weight,adv_weight,marginal_weight,balancer,epochs_per_hour,seconds_per_epoch,run,source_file,ae_l1,ae_cos_pct,ae_anchor,sisdr_loss,preemph,fm_weight,run_rows,run_last_step,run_label,run_label_wrapped,run_detail,phase_path
1,65200,0.0015,1,200,0.3067,1,326,320,104014,A/AE,3637.6331,8e-05,0.274904,87.96929,237170.04,31.767603,0.102051,0.0,6.156137,1.037541,0.452398,0.7298,0.202688,7.313919,0.578768,0.0091,0.0091,60.75,0.0,0.0,,,,,0.125,0.0,0.0,0.0,0.0,grad,3.03575,1185.868386,20260424_022352,experiments\20260424_022352\logs.csv,,,,,,,1,1,AE only: grad balancer,AE only: grad balancer,"A/AE; stft=0.12, vq=0.00, run 022352",A/AE
1,1,100.0,1,1,0.2762,1,362,288,104014,B/RVQ,138135.7563,8e-05,0.007239,2.084906,0.0,34.502533,0.096191,0.0,1.941312,0.996385,0.86054,0.81691,0.290361,1.887097,0.892362,-0.2167,-0.2167,62.0,12.75,3.875,9/256,16/128,,,1.0,0.0,0.25,0.0,0.5,grad,0.071993,50005.143764,20260426_084915,experiments\20260426_084915\logs.csv,,,,,,,1,1,RVQ: grad balancer,RVQ: grad balancer,"B/RVQ; stft=1.00, vq=0.25, run 084915",B/RVQ
1,1,100.0,1,1,0.001,1,104014,1,104014,B/RVQ,167.1069,8e-05,5.984195,5.984195,0.0,52.932659,0.087511,0.0,1.772704,0.962997,0.47259,0.810995,0.1107,2.302879,0.448752,2.0357,2.0357,2701.756104,12.692883,3.869653,4/256,6/128,,,0.65,0.0,0.5,0.0,0.5,grad,0.207117,17381.453647,20260426_185525,experiments\20260426_185525\logs.csv,0.086191,-0.3746,0.14347,7.805956,,,1,1,RVQ: grad balancer,RVQ: grad balancer,"B/RVQ; stft=0.65, vq=0.50, run 185525",B/RVQ
2,2,100.0,1,1,0.0019,2,104014,2,104014,C/GAN,139.8528,5e-05,7.150377,7.150377,0.0,17.977922,0.300453,0.0,4.076914,0.920116,2.172268,0.689546,1.125604,3.779542,2.524784,-3.2461,1.2622,1222.493164,11.108747,1.524051,2/256,2/128,,,0.65,0.0,0.5,0.015,0.49999,off,0.24748,14546.64521,20260426_222519,experiments\20260426_222519\logs.csv,0.298318,-2.6739,0.251833,6.664641,0.135328,1.0,2,2,GAN stage + GAN: balancer OFF,"GAN stage + GAN: balancer
OFF","B/RVQ -> C/GAN; stft=0.65, vq=0.50, run 222519",B/RVQ -> C/GAN
2,2,100.0,1,1,0.5525,2,362,576,104014,D/full,5034.1405,5e-05,0.198644,57.209369,0.0,10.210432,0.090332,0.0,3.613115,1.050261,0.864158,0.820695,0.389188,3.537599,1.002892,0.095,-0.206,42.5,11.75,2.765625,6/256,7/128,,,1.0,0.0,0.25,0.0,0.49999,off,1.975462,1822.358849,20260426_085225,experiments\20260426_085225\logs.csv,,,,,,,2,2,full model: balancer OFF,full model: balancer OFF,"B/RVQ -> D/full; stft=1.00, vq=0.25, run 085225",B/RVQ -> D/full
2,2,100.0,1,1,0.5525,2,362,576,104014,D/full,5143.8079,5e-05,0.194409,55.989649,0.0,37.725471,0.081543,0.0,2.425619,0.999622,0.861682,0.812311,0.32088,2.22039,0.964568,0.209,-0.2049,100.0,12.75,3.65625,10/256,11/128,,,1.0,0.0,0.25,0.0,0.49999,grad,1.933344,1862.058455,20260426_085158,experiments\20260426_085158\logs.csv,,,,,,,2,2,full model: grad balancer,full model: grad balancer,"B/RVQ -> D/full; stft=1.00, vq=0.25, run 085158",B/RVQ -> D/full
2,2,100.0,1,1,0.5525,2,362,576,104014,ae,4706.609,5e-05,0.212467,61.190551,0.0,43.095062,0.166016,0.0,2.750375,1.679394,0.619046,0.836222,0.252669,3.038692,0.719344,-0.1083,0.0029,468.0,0.0,0.0,,,,,1.0,0.0,0.0,0.0,0.0,grad,2.112933,1703.792462,20260426_085327,experiments\20260426_085327\logs.csv,,,,,,,2,2,AE only: grad balancer,AE only: grad balancer,"ae; stft=1.00, vq=0.00, run 085327",ae
2,2,100.0,1,1,0.5525,2,362,576,104014,D/full,5156.0256,5e-05,0.193948,55.856976,0.0,31.374979,0.081055,0.0,2.471728,1.000018,0.532708,0.831814,0.20665,2.511674,0.598312,0.2975,-0.2025,101.5,12.75,3.671875,10/256,12/128,,,1.0,0.0,0.25,0.0,0.49999,grad,1.928763,1866.481285,20260426_085259,experiments\20260426_085259\logs.csv,,,,,,,2,2,full model: grad balancer,full model: grad balancer,"B/RVQ -> D/full; stft=1.00, vq=0.25, run 085259",B/RVQ -> D/full
4,4,100.0,1,1,0.0077,4,52007,8,104014,B/RVQ,2244.6484,2.87867966e-05,0.445504,0.891008,0.0,48.679935,0.103516,0.0,3.697673,1.071716,0.984878,0.838699,0.393502,3.794912,1.096764,-0.0259,0.1541,248.0,13.3125,2.96875,4/256,4/128,,,1.0,0.0,0.25,0.0,0.499969,grad,0.030838,116737.429181,20260426_084748,experiments\20260426_084748\logs.csv,,,,,,,4,4,RVQ: grad balancer,RVQ: grad balancer,"A/AE -> B/RVQ; stft=1.00, vq=0.25, run 084748",A/AE -> B/RVQ
4,4,100.0,1,1,0.9828,4,407,1024,104014,ae,2167.8461,2.87867966e-05,0.461287,118.089561,0.0,7.255214,0.196289,0.0,2.329002,1.744928,1.327284,0.803135,0.500306,2.577404,1.245663,0.8118,0.8118,175.0,0.0,0.0,,,,,1.25,0.0,0.0,0.0,0.0,off,4.080183,882.31338,20260426_093756,experiments\20260426_093756\logs.csv,,,,,,,1,4,AE only: balancer OFF,AE only: balancer OFF,"ae; stft=1.25, vq=0.00, run 093756",ae
