run,run_label,run_label_wrapped,run_detail,phase_path,run_rows,run_last_step,step,stft_weight,vq_weight,adv_weight,marginal_weight,balancer,loss_total,l1,stft,cos_pct,vq_loss,samples_per_s,ms_per_update
20260424_022352,AE only: grad balancer,AE only: grad balancer,"A/AE; stft=0.12, vq=0.00, run 022352",A/AE,1,1,1,0.125,0.0,0.0,0.0,grad,31.767603,0.102051,6.156137,0.0091,0.0,87.96929,3637.6331
20260426_084915,RVQ: grad balancer,RVQ: grad balancer,"B/RVQ; stft=1.00, vq=0.25, run 084915",B/RVQ,1,1,1,1.0,0.25,0.0,0.5,grad,34.502533,0.096191,1.941312,-0.2167,12.75,2.084906,138135.7563
20260426_185525,RVQ: grad balancer,RVQ: grad balancer,"B/RVQ; stft=0.65, vq=0.50, run 185525",B/RVQ,1,1,1,0.65,0.5,0.0,0.5,grad,52.932659,0.087511,1.772704,2.0357,12.692883,5.984195,167.1069
20260426_222519,GAN stage + GAN: balancer OFF,"GAN stage + GAN: balancer
OFF","B/RVQ -> C/GAN; stft=0.65, vq=0.50, run 222519",B/RVQ -> C/GAN,2,2,2,0.65,0.5,0.015,0.49999,off,17.977922,0.300453,4.076914,-3.2461,11.108747,7.150377,139.8528
20260426_085225,full model: balancer OFF,full model: balancer OFF,"B/RVQ -> D/full; stft=1.00, vq=0.25, run 085225",B/RVQ -> D/full,2,2,2,1.0,0.25,0.0,0.49999,off,10.210432,0.090332,3.613115,0.095,11.75,57.209369,5034.1405
20260426_085158,full model: grad balancer,full model: grad balancer,"B/RVQ -> D/full; stft=1.00, vq=0.25, run 085158",B/RVQ -> D/full,2,2,2,1.0,0.25,0.0,0.49999,grad,37.725471,0.081543,2.425619,0.209,12.75,55.989649,5143.8079
20260426_085327,AE only: grad balancer,AE only: grad balancer,"ae; stft=1.00, vq=0.00, run 085327",ae,2,2,2,1.0,0.0,0.0,0.0,grad,43.095062,0.166016,2.750375,-0.1083,0.0,61.190551,4706.609
20260426_085259,full model: grad balancer,full model: grad balancer,"B/RVQ -> D/full; stft=1.00, vq=0.25, run 085259",B/RVQ -> D/full,2,2,2,1.0,0.25,0.0,0.49999,grad,31.374979,0.081055,2.471728,0.2975,12.75,55.856976,5156.0256
20260426_084748,RVQ: grad balancer,RVQ: grad balancer,"A/AE -> B/RVQ; stft=1.00, vq=0.25, run 084748",A/AE -> B/RVQ,4,4,4,1.0,0.25,0.0,0.499969,grad,48.679935,0.103516,3.697673,-0.0259,13.3125,0.891008,2244.6484
20260426_093756,AE only: balancer OFF,AE only: balancer OFF,"ae; stft=1.25, vq=0.00, run 093756",ae,1,4,4,1.25,0.0,0.0,0.0,off,7.255214,0.196289,2.329002,0.8118,0.0,118.089561,2167.8461
20260426_085432,AE only: balancer OFF,AE only: balancer OFF,"ae; stft=1.00, vq=0.00, run 085432",ae,1,5,5,1.0,0.0,0.0,0.0,off,4.358679,0.135742,2.081654,-6.543,0.0,143.907609,2001.284
